77,56
76,55
74,55
71,55
67,55
62,55
56,55
49,55
41,55
33,55
26,55
20,55
15,55
11,54
8,52
5,49
3,45
2,40
2,34
3,27
5,21
6,16
7,11
9,7
12,4
16,2
21,1
27,1
34,2
41,2
47,2
52,3
56,5
59,8
61,10
62,11
62,11
61,12
59,14
56,17
52,21
48,25
45,30
43,34
42,37
42,41
43,44
45,46
48,47
51,48
53,48
54,47
54,45
54,42
54,39
55,36
57,34
60,33
64,33
67,34
69,36
72,39
76,43
79,46
81,48
82,49
84,49
85,48
86,46
86,43
85,40
83,38
80,35
77,32
75,28
74,25
73,22
73,20
74,17
76,15
79,14
83,14
88,15
92,17
95,20
97,22
98,25
98,27
97,28
95,30
93,32
92,35
92,38
93,41
95,43
97,45
98,47
98,50
97,53
95,55
92,56
88,56
83,57
79,57
