79,56
80,56
81,56
82,56
83,56
84,56
85,56
86,55
87,55
88,55
89,55
90,55
91,54
92,54
93,54
94,54
95,54
96,54
97,53
98,52
99,51
99,50
99,49
99,48
99,47
99,46
98,45
97,44
96,43
95,42
94,41
93,40
93,39
92,38
92,37
92,36
92,35
92,34
92,33
92,32
92,31
92,30
92,29
92,28
92,27
93,26
93,25
93,24
93,23
93,22
93,21
92,20
91,19
90,18
89,17
88,16
87,16
86,16
85,16
84,16
83,16
82,16
81,16
80,16
79,16
78,16
77,16
76,17
75,18
74,19
73,20
73,21
74,22
75,23
76,24
77,25
78,26
79,27
79,28
79,29
79,30
79,31
79,32
79,33
79,34
79,35
80,36
81,37
82,38
83,39
84,40
85,41
85,42
86,43
87,44
87,45
87,46
87,47
86,48
85,48
84,48
83,48
82,48
81,48
80,48
79,47
78,46
77,45
76,44
75,43
74,42
73,41
72,40
71,39
70,38
69,37
68,36
67,36
66,35
65,35
64,35
63,35
62,35
61,35
60,35
59,35
58,35
57,35
56,35
55,36
54,37
53,38
53,39
53,40
53,41
53,42
53,43
53,44
53,45
54,46
54,47
54,48
53,49
52,49
51,49
50,48
49,47
48,46
47,45
46,44
46,43
46,42
46,41
46,40
46,39
46,38
46,37
46,36
46,35
46,34
46,33
46,32
46,31
47,30
48,29
49,28
50,27
50,26
50,25
51,24
51,23
52,22
52,21
53,20
54,19
54,18
54,17
54,16
54,15
55,14
56,13
57,12
57,11
57,10
56,9
55,8
55,7
55,6
54,5
53,4
52,3
51,3
50,3
49,3
48,3
47,3
46,3
45,3
44,3
43,3
42,3
41,3
40,3
39,3
38,3
37,3
36,3
35,3
34,3
33,3
32,3
31,3
30,3
29,3
28,3
27,3
26,3
25,3
24,3
23,3
22,3
21,3
20,3
19,3
18,3
17,3
16,3
15,3
14,3
13,3
12,3
11,4
10,5
9,6
9,7
9,8
9,9
9,10
9,11
9,12
9,13
9,14
9,15
9,16
9,17
9,18
9,19
9,20
9,21
9,22
9,23
9,24
9,25
9,26
9,27
9,28
9,29
9,30
9,31
9,32
9,33
9,34
9,35
9,36
9,37
9,38
9,39
9,40
9,41
9,42
9,43
9,44
9,45
9,46
9,47
9,48
9,49
9,50
9,51
9,52
10,53
11,54
12,55
13,56
14,56
15,56
16,56
17,56
18,56
19,56
20,56
21,56
22,56
23,56
24,56
25,56
26,56
27,56
28,56
29,56
30,56
31,56
32,56
33,56
34,56
35,56
36,56
37,56
38,56
39,56
40,56
41,56
42,56
43,56
44,56
45,56
46,56
47,56
48,56
49,56
50,56
51,56
52,56
53,56
54,56
55,56
56,56
57,56
58,56
59,56
60,56
61,56
62,56
63,56
64,56
65,56
66,56
67,56
68,56
69,56
70,56
71,56
72,56
73,56
74,56
75,56
76,56
77,56
