STEP 0 | beam_size=1 | visited=6
(77, 56, 0, 0)

STEP 1 | beam_size=6 | visited=20
(77, 56, 0, 0)
(76, 56, -2, 0)
(76, 55, -2, -2)
(76, 57, -2, 0)
(77, 55, 0, -2)
(77, 57, 0, 0)

STEP 2 | beam_size=19 | visited=48
(77, 57, 0, 0)
(75, 56, -2, 0)
(74, 56, -2, 0)
(73, 56, -4, 0)
(74, 56, -2, -2)
(73, 56, -4, -2)
(76, 57, -2, 0)
(75, 57, -2, 0)
(76, 56, -2, -2)
(75, 56, -2, -2)

STEP 3 | beam_size=35 | visited=100
(72, 56, -2, 0)
(73, 56, -2, 0)
(72, 56, -4, 0)
(71, 56, -4, 0)
(70, 56, -4, 0)
(71, 56, -4, -2)
(70, 56, -4, -2)
(69, 56, -4, 0)
(73, 56, -2, -2)
(68, 56, -6, 0)

STEP 4 | beam_size=77 | visited=180
(71, 56, -2, 0)
(70, 56, -2, 0)
(69, 56, -4, 0)
(67, 56, -4, 0)
(66, 56, -4, 0)
(68, 56, -4, 0)
(67, 56, -6, 0)
(66, 56, -6, 0)
(71, 56, -2, -2)
(65, 56, -6, 0)

STEP 5 | beam_size=100 | visited=260
(69, 56, -2, 0)
(68, 56, -2, 0)
(64, 56, -4, 0)
(63, 56, -4, 0)
(62, 56, -4, 0)
(60, 56, -8, 0)
(65, 56, -4, 0)
(59, 56, -8, 0)
(58, 56, -8, 0)
(57, 56, -8, 0)

STEP 6 | beam_size=100 | visited=340
(67, 56, -2, 0)
(66, 56, -2, 0)
(60, 56, -4, 0)
(59, 56, -4, 0)
(58, 56, -4, 0)
(52, 56, -8, 0)
(51, 56, -8, 0)
(50, 56, -8, 0)
(49, 56, -8, 0)
(48, 56, -8, 0)

STEP 7 | beam_size=100 | visited=420
(64, 56, -2, 0)
(65, 56, -2, 0)
(56, 56, -4, 0)
(55, 56, -4, 0)
(54, 56, -4, 0)
(44, 56, -8, 0)
(57, 56, -4, 0)
(43, 56, -8, 0)
(42, 56, -8, 0)
(64, 56, -2, -2)

STEP 8 | beam_size=100 | visited=500
(63, 56, -2, 0)
(62, 56, -2, 0)
(53, 56, -4, 0)
(52, 56, -4, 0)
(51, 56, -4, 0)
(50, 56, -4, 0)
(36, 56, -8, 0)
(35, 56, -8, 0)
(34, 56, -8, 0)
(63, 56, -2, -2)

STEP 9 | beam_size=100 | visited=580
(60, 56, -2, 0)
(61, 56, -2, 0)
(21, 56, -8, 0)
(48, 56, -4, 0)
(28, 56, -8, 0)
(27, 56, -8, 0)
(26, 56, -8, 0)
(25, 56, -8, 0)
(47, 56, -4, 0)
(24, 56, -8, 0)

STEP 10 | beam_size=100 | visited=682
(13, 55, -8, -2)
(13, 56, -8, -2)
(13, 56, -8, 0)
(14, 56, -8, -2)
(14, 56, -8, 0)
(14, 56, -8, -2)
(14, 55, -8, -2)
(15, 56, -8, 0)
(15, 56, -8, -2)
(15, 56, -8, 0)

STEP 11 | beam_size=100 | visited=776
(10, 53, -8, -4)
(9, 53, -8, -4)
(10, 54, -8, -2)
(9, 53, -8, -4)
(8, 52, -8, -4)
(8, 53, -8, -4)
(11, 54, -8, -2)
(11, 54, -8, -2)
(9, 54, -8, -2)
(9, 54, -8, -2)

