79,56
80,56
82,56
85,55
88,55
92,54
96,53
99,51
101,48
102,46
102,44
101,43
99,41
96,38
93,36
91,34
90,31
90,28
91,26
93,25
94,23
94,20
93,18
91,17
88,17
84,16
80,16
76,16
73,17
71,19
69,21
68,22
68,23
69,23
71,24
74,26
76,29
78,33
80,37
82,40
84,42
86,44
87,45
87,46
86,47
84,47
81,47
78,46
75,44
72,41
69,38
66,36
63,35
59,35
55,36
52,38
50,40
49,42
49,43
50,43
52,44
53,46
53,48
52,49
51,49
49,48
47,46
46,44
46,41
46,38
46,35
46,32
47,28
49,23
52,18
55,14
57,11
58,9
58,8
57,7
55,5
52,3
48,2
44,2
40,2
36,2
32,2
28,2
24,2
20,2
16,2
13,3
11,5
8,8
5,12
3,16
2,20
2,24
3,29
4,34
5,39
7,44
9,48
10,51
11,53
13,55
16,56
19,56
22,56
25,56
28,56
31,56
34,56
37,56
40,56
43,56
46,56
49,56
52,56
55,56
58,56
61,56
64,56
68,56
72,56
77,56
