79,56
80,55
82,55
85,55
89,55
93,55
96,54
98,52
99,49
99,45
98,41
96,37
93,34
91,32
90,30
90,28
91,27
92,25
92,22
91,19
89,17
86,16
82,16
78,16
75,17
73,19
72,22
72,25
73,29
75,34
78,38
82,41
85,43
87,45
88,46
88,47
87,47
85,47
82,47
78,47
75,46
73,44
70,41
68,38
66,36
63,35
59,35
56,36
54,38
53,41
53,44
53,46
53,47
53,48
52,48
50,47
48,45
45,42
43,38
42,35
42,32
43,30
45,28
48,25
52,21
55,18
57,14
58,11
58,8
57,5
55,3
52,2
48,2
43,3
37,3
30,4
23,4
17,4
12,4
8,5
5,7
3,9
2,12
2,16
3,21
5,27
6,34
8,40
9,45
9,49
10,52
12,54
14,56
17,57
21,57
26,56
32,56
39,56
47,56
56,56
66,56
77,56
